name,official_name,slug,lga_key,lga,planning_region,zone,priority,page_status,index_recommendation,latitude,longitude,estimated_cbd_distance_km,nearby_areas,regional_anchors,property_profile,local_context,service_notes
Knoxfield,KNOXFIELD,knoxfield,KNOX,Knox City,Eastern,East & Dandenong Ranges,2,phase_2,False,-37.89055,145.24938,26.6,Ferntree Gully | Scoresby | Wantirna South,Dandenong Creek | Burwood Highway | Dandenong Ranges foothills,established suburban and infill housing,"Knoxfield is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Ferntree Gully, Scoresby, Wantirna South. The broader catchment is shaped by Dandenong Creek, Burwood Highway, Dandenong Ranges foothills. The local job mix commonly includes post-war family homes, split-level houses and townhouse infill near the foothills.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Ringwood East,RINGWOOD EAST,ringwood-east,MAROONDAH,Maroondah City,Eastern,East & Dandenong Ranges,2,phase_2,False,-37.81331,145.25356,25.5,Ringwood | Heathmont | Croydon South,Ringwood | Mullum Mullum Creek | Lilydale and Belgrave rail corridors,established suburban and infill housing,"Ringwood East is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Ringwood, Heathmont, Croydon South. The broader catchment is shaped by Ringwood, Mullum Mullum Creek, Lilydale and Belgrave rail corridors. The local job mix commonly includes established family homes, units and properties on gently sloping, well-treed streets.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Ringwood North,RINGWOOD NORTH,ringwood-north,MAROONDAH,Maroondah City,Eastern,East & Dandenong Ranges,2,phase_2,False,-37.79304,145.2312,23.7,Ringwood | Warranwood | Ringwood East,Ringwood | Mullum Mullum Creek | Lilydale and Belgrave rail corridors,established suburban and infill housing,"Ringwood North is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Ringwood, Warranwood, Ringwood East. The broader catchment is shaped by Ringwood, Mullum Mullum Creek, Lilydale and Belgrave rail corridors. The local job mix commonly includes established family homes, units and properties on gently sloping, well-treed streets.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Scoresby,SCORESBY,scoresby,KNOX,Knox City,Eastern,East & Dandenong Ranges,2,phase_2,False,-37.90174,145.21886,24.5,Knoxfield | Wantirna South | Rowville,Dandenong Creek | Burwood Highway | Dandenong Ranges foothills,established suburban and infill housing,"Scoresby is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Knoxfield, Wantirna South, Rowville. The broader catchment is shaped by Dandenong Creek, Burwood Highway, Dandenong Ranges foothills. The local job mix commonly includes post-war family homes, split-level houses and townhouse infill near the foothills.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
The Basin,THE BASIN,the-basin,KNOX,Knox City,Eastern,East & Dandenong Ranges,2,phase_2,False,-37.8554,145.31907,31.6,Tremont | Sassafras | Kilsyth South,Dandenong Creek | Burwood Highway | Dandenong Ranges foothills,established suburban and infill housing,"The Basin is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Tremont, Sassafras, Kilsyth South. The broader catchment is shaped by Dandenong Creek, Burwood Highway, Dandenong Ranges foothills. The local job mix commonly includes post-war family homes, split-level houses and townhouse infill near the foothills.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Tremont,TREMONT,tremont,YARRA RANGES,Yarra Ranges Shire,Eastern,East & Dandenong Ranges,2,phase_2,False,-37.8791,145.31626,31.9,Ferny Creek | Upper Ferntree Gully | The Basin,Yarra Valley | Dandenong Ranges | Warburton Highway corridor,established suburban and infill housing,"Tremont is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Ferny Creek, Upper Ferntree Gully, The Basin. The broader catchment is shaped by Yarra Valley, Dandenong Ranges, Warburton Highway corridor. The local job mix commonly includes hills homes, weatherboard houses, acreage and established outer-eastern estates.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Upper Ferntree Gully,UPPER FERNTREE GULLY,upper-ferntree-gully,KNOX,Knox City,Eastern,East & Dandenong Ranges,2,phase_2,False,-37.8981,145.30926,31.8,Upwey | Tremont | Ferntree Gully,Dandenong Creek | Burwood Highway | Dandenong Ranges foothills,established suburban and infill housing,"Upper Ferntree Gully is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Upwey, Tremont, Ferntree Gully. The broader catchment is shaped by Dandenong Creek, Burwood Highway, Dandenong Ranges foothills. The local job mix commonly includes post-war family homes, split-level houses and townhouse infill near the foothills.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Wantirna South,WANTIRNA SOUTH,wantirna-south,KNOX,Knox City,Eastern,East & Dandenong Ranges,2,phase_2,False,-37.87388,145.22193,23.7,Wantirna | Knoxfield | Scoresby,Dandenong Creek | Burwood Highway | Dandenong Ranges foothills,established suburban and infill housing,"Wantirna South is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Wantirna, Knoxfield, Scoresby. The broader catchment is shaped by Dandenong Creek, Burwood Highway, Dandenong Ranges foothills. The local job mix commonly includes post-war family homes, split-level houses and townhouse infill near the foothills.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Warranwood,WARRANWOOD,warranwood,MAROONDAH,Maroondah City,Eastern,East & Dandenong Ranges,2,phase_2,False,-37.77261,145.24979,25.6,Croydon Hills | Ringwood North | Croydon North,Ringwood | Mullum Mullum Creek | Lilydale and Belgrave rail corridors,established suburban and infill housing,"Warranwood is within the outer-east and Dandenong Ranges catchment, where terrain and tree cover shape access, close to Croydon Hills, Ringwood North, Croydon North. The broader catchment is shaped by Ringwood, Mullum Mullum Creek, Lilydale and Belgrave rail corridors. The local job mix commonly includes established family homes, units and properties on gently sloping, well-treed streets.","Allow extra time for hills, winding roads, steep driveways and weather-sensitive access on outer jobs."
Ashburton,ASHBURTON,ashburton,BOROONDARA,Boroondara City,Inner South East,Inner East,2,phase_2,False,-37.86729,145.08019,11.9,Glen Iris | Camberwell | Burwood,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Ashburton is within Melbourne's established, well-treed eastern residential belt, close to Glen Iris, Camberwell, Burwood. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Balwyn North,BALWYN NORTH,balwyn-north,BOROONDARA,Boroondara City,Inner South East,Inner East,2,phase_2,False,-37.79175,145.08434,10.9,Balwyn | Bulleen | Mont Albert North,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Balwyn North is within Melbourne's established, well-treed eastern residential belt, close to Balwyn, Bulleen, Mont Albert North. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Blackburn,BLACKBURN,blackburn,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.82168,145.15226,16.6,Blackburn North | Blackburn South | Nunawading,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Blackburn is within Melbourne's established, well-treed eastern residential belt, close to Blackburn North, Blackburn South, Nunawading. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Blackburn North,BLACKBURN NORTH,blackburn-north,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.80537,145.15436,16.8,Blackburn | Box Hill North | Nunawading,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Blackburn North is within Melbourne's established, well-treed eastern residential belt, close to Blackburn, Box Hill North, Nunawading. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Blackburn South,BLACKBURN SOUTH,blackburn-south,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.83935,145.14655,16.4,Burwood East | Blackburn | Box Hill South,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Blackburn South is within Melbourne's established, well-treed eastern residential belt, close to Burwood East, Blackburn, Box Hill South. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Box Hill North,BOX HILL NORTH,box-hill-north,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.80559,145.12957,14.7,Mont Albert North | Box Hill | Blackburn North,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Box Hill North is within Melbourne's established, well-treed eastern residential belt, close to Mont Albert North, Box Hill, Blackburn North. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Box Hill South,BOX HILL SOUTH,box-hill-south,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.83661,145.12338,14.3,Box Hill | Burwood | Blackburn South,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Box Hill South is within Melbourne's established, well-treed eastern residential belt, close to Box Hill, Burwood, Blackburn South. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Bulleen,BULLEEN,bulleen,MANNINGHAM,Manningham City,Eastern,Inner East,2,phase_2,False,-37.76865,145.08697,12.0,Templestowe Lower | Balwyn North | Doncaster,Yarra River | Eastern Freeway | Doncaster and Templestowe activity centres,established suburban and infill housing,"Bulleen is within Melbourne's established, well-treed eastern residential belt, close to Templestowe Lower, Balwyn North, Doncaster. The broader catchment is shaped by Yarra River, Eastern Freeway, Doncaster and Templestowe activity centres. The local job mix commonly includes larger family homes, sloping blocks and multi-level renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Burwood East,BURWOOD EAST,burwood-east,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.85357,145.15042,17.0,Blackburn South | Forest Hill | Box Hill South,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Burwood East is within Melbourne's established, well-treed eastern residential belt, close to Blackburn South, Forest Hill, Box Hill South. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Canterbury,CANTERBURY,canterbury,BOROONDARA,Boroondara City,Inner South East,Inner East,2,phase_2,False,-37.8236,145.07571,10.0,Deepdene | Camberwell | Balwyn,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Canterbury is within Melbourne's established, well-treed eastern residential belt, close to Deepdene, Camberwell, Balwyn. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Deepdene,DEEPDENE,deepdene,BOROONDARA,Boroondara City,Inner South East,Inner East,2,phase_2,False,-37.8114,145.06587,9.0,Balwyn | Canterbury | Kew East,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Deepdene is within Melbourne's established, well-treed eastern residential belt, close to Balwyn, Canterbury, Kew East. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Doncaster East,DONCASTER EAST,doncaster-east,MANNINGHAM,Manningham City,Eastern,Inner East,2,phase_2,False,-37.77897,145.16391,18.1,Donvale | Blackburn North | Templestowe,Yarra River | Eastern Freeway | Doncaster and Templestowe activity centres,established suburban and infill housing,"Doncaster East is within Melbourne's established, well-treed eastern residential belt, close to Donvale, Blackburn North, Templestowe. The broader catchment is shaped by Yarra River, Eastern Freeway, Doncaster and Templestowe activity centres. The local job mix commonly includes larger family homes, sloping blocks and multi-level renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Donvale,DONVALE,donvale,MANNINGHAM,Manningham City,Eastern,Inner East,2,phase_2,False,-37.78979,145.19131,20.2,Park Orchards | Doncaster East | Mitcham,Yarra River | Eastern Freeway | Doncaster and Templestowe activity centres,established suburban and infill housing,"Donvale is within Melbourne's established, well-treed eastern residential belt, close to Park Orchards, Doncaster East, Mitcham. The broader catchment is shaped by Yarra River, Eastern Freeway, Doncaster and Templestowe activity centres. The local job mix commonly includes larger family homes, sloping blocks and multi-level renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Forest Hill,FOREST HILL,forest-hill,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.83986,145.17106,18.5,Blackburn South | Vermont South | Burwood East,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Forest Hill is within Melbourne's established, well-treed eastern residential belt, close to Blackburn South, Vermont South, Burwood East. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Glen Iris,GLEN IRIS,glen-iris,BOROONDARA,Boroondara City,Inner South East,Inner East,2,phase_2,False,-37.85596,145.065,10.1,Ashburton | Camberwell | Hawthorn East,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Glen Iris is within Melbourne's established, well-treed eastern residential belt, close to Ashburton, Camberwell, Hawthorn East. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Hawthorn East,HAWTHORN EAST,hawthorn-east,BOROONDARA,Boroondara City,Inner South East,Inner East,2,phase_2,False,-37.83118,145.05008,7.9,Hawthorn | Camberwell | Canterbury,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Hawthorn East is within Melbourne's established, well-treed eastern residential belt, close to Hawthorn, Camberwell, Canterbury. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Kew East,KEW EAST,kew-east,BOROONDARA,Boroondara City,Inner South East,Inner East,2,phase_2,False,-37.79062,145.05255,8.3,Kew | Deepdene | Balwyn North,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Kew East is within Melbourne's established, well-treed eastern residential belt, close to Kew, Deepdene, Balwyn North. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Mitcham,MITCHAM,mitcham,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.81817,145.19901,20.7,Nunawading | Vermont | Donvale,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Mitcham is within Melbourne's established, well-treed eastern residential belt, close to Nunawading, Vermont, Donvale. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Mont Albert,MONT ALBERT,mont-albert,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.81767,145.10778,12.7,Surrey Hills | Mont Albert North | Box Hill,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Mont Albert is within Melbourne's established, well-treed eastern residential belt, close to Surrey Hills, Mont Albert North, Box Hill. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Mont Albert North,MONT ALBERT NORTH,mont-albert-north,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.80331,145.11081,13.0,Mont Albert | Box Hill North | Doncaster,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Mont Albert North is within Melbourne's established, well-treed eastern residential belt, close to Mont Albert, Box Hill North, Doncaster. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Nunawading,NUNAWADING,nunawading,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.81735,145.17654,18.8,Mitcham | Blackburn | Blackburn North,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Nunawading is within Melbourne's established, well-treed eastern residential belt, close to Mitcham, Blackburn, Blackburn North. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Park Orchards,PARK ORCHARDS,park-orchards,MANNINGHAM,Manningham City,Eastern,Inner East,2,phase_2,False,-37.77699,145.21477,22.5,Donvale | Warrandyte South | Warrandyte,Yarra River | Eastern Freeway | Doncaster and Templestowe activity centres,established suburban and infill housing,"Park Orchards is within Melbourne's established, well-treed eastern residential belt, close to Donvale, Warrandyte South, Warrandyte. The broader catchment is shaped by Yarra River, Eastern Freeway, Doncaster and Templestowe activity centres. The local job mix commonly includes larger family homes, sloping blocks and multi-level renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Surrey Hills,SURREY HILLS,surrey-hills,BOROONDARA,Boroondara City,Inner South East,Inner East,2,phase_2,False,-37.82673,145.09823,12.0,Mont Albert | Canterbury | Balwyn,Yarra River | Gardiners Creek | Camberwell Junction,established suburban and infill housing,"Surrey Hills is within Melbourne's established, well-treed eastern residential belt, close to Mont Albert, Canterbury, Balwyn. The broader catchment is shaped by Yarra River, Gardiners Creek, Camberwell Junction. The local job mix commonly includes period homes, double-brick houses and substantial renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Templestowe,TEMPLESTOWE,templestowe,MANNINGHAM,Manningham City,Eastern,Inner East,2,phase_2,False,-37.75399,145.14875,17.6,Doncaster East | Templestowe Lower | Doncaster,Yarra River | Eastern Freeway | Doncaster and Templestowe activity centres,established suburban and infill housing,"Templestowe is within Melbourne's established, well-treed eastern residential belt, close to Doncaster East, Templestowe Lower, Doncaster. The broader catchment is shaped by Yarra River, Eastern Freeway, Doncaster and Templestowe activity centres. The local job mix commonly includes larger family homes, sloping blocks and multi-level renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Templestowe Lower,TEMPLESTOWE LOWER,templestowe-lower,MANNINGHAM,Manningham City,Eastern,Inner East,2,phase_2,False,-37.76383,145.1122,14.2,Bulleen | Doncaster | Templestowe,Yarra River | Eastern Freeway | Doncaster and Templestowe activity centres,established suburban and infill housing,"Templestowe Lower is within Melbourne's established, well-treed eastern residential belt, close to Bulleen, Doncaster, Templestowe. The broader catchment is shaped by Yarra River, Eastern Freeway, Doncaster and Templestowe activity centres. The local job mix commonly includes larger family homes, sloping blocks and multi-level renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Vermont,VERMONT,vermont,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.83845,145.19919,20.9,Vermont South | Mitcham | Forest Hill,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Vermont is within Melbourne's established, well-treed eastern residential belt, close to Vermont South, Mitcham, Forest Hill. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Vermont South,VERMONT SOUTH,vermont-south,WHITEHORSE,Whitehorse City,Eastern,Inner East,2,phase_2,False,-37.85437,145.18782,20.2,Vermont | Forest Hill | Burwood East,Box Hill | Belgrave and Lilydale rail corridors | Gardiners Creek,established suburban and infill housing,"Vermont South is within Melbourne's established, well-treed eastern residential belt, close to Vermont, Forest Hill, Burwood East. The broader catchment is shaped by Box Hill, Belgrave and Lilydale rail corridors, Gardiners Creek. The local job mix commonly includes post-war brick veneer homes, units and newer townhouses.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Warrandyte,WARRANDYTE,warrandyte,MANNINGHAM,Manningham City,Eastern,Inner East,2,phase_2,False,-37.74778,145.20959,22.9,Park Orchards | Warrandyte South | Donvale,Yarra River | Eastern Freeway | Doncaster and Templestowe activity centres,established suburban and infill housing,"Warrandyte is within Melbourne's established, well-treed eastern residential belt, close to Park Orchards, Warrandyte South, Donvale. The broader catchment is shaped by Yarra River, Eastern Freeway, Doncaster and Templestowe activity centres. The local job mix commonly includes larger family homes, sloping blocks and multi-level renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Warrandyte South,WARRANDYTE SOUTH,warrandyte-south,MANNINGHAM,Manningham City,Eastern,Inner East,2,phase_2,False,-37.76023,145.24405,25.4,Park Orchards | Warrandyte | Wonga Park,Yarra River | Eastern Freeway | Doncaster and Templestowe activity centres,established suburban and infill housing,"Warrandyte South is within Melbourne's established, well-treed eastern residential belt, close to Park Orchards, Warrandyte, Wonga Park. The broader catchment is shaped by Yarra River, Eastern Freeway, Doncaster and Templestowe activity centres. The local job mix commonly includes larger family homes, sloping blocks and multi-level renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Wonga Park,WONGA PARK,wonga-park,MANNINGHAM,Manningham City,Eastern,Inner East,2,phase_2,False,-37.73555,145.2697,28.3,Warrandyte South | Warrandyte | Park Orchards,Yarra River | Eastern Freeway | Doncaster and Templestowe activity centres,established suburban and infill housing,"Wonga Park is within Melbourne's established, well-treed eastern residential belt, close to Warrandyte South, Warrandyte, Park Orchards. The broader catchment is shaped by Yarra River, Eastern Freeway, Doncaster and Templestowe activity centres. The local job mix commonly includes larger family homes, sloping blocks and multi-level renovations.","Check wall construction and fireplace or cabinetry details; many jobs suit longer, finish-focused appointments."
Alphington,ALPHINGTON,alphington,DAREBIN,Darebin City,Northern,Inner North,2,phase_2,False,-37.78041,145.03083,7.0,Ivanhoe | Northcote | Ivanhoe East,High Street corridor | Darebin Creek | Preston and Reservoir activity centres,established suburban and infill housing,"Alphington is part of Melbourne's established inner-north and north-east suburban belt, close to Ivanhoe, Northcote, Ivanhoe East. The broader catchment is shaped by High Street corridor, Darebin Creek, Preston and Reservoir activity centres. The local job mix commonly includes Californian bungalows, post-war brick homes and townhouse infill.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
Bellfield,BELLFIELD (GREATER MELBOURNE),bellfield,BANYULE,Banyule City,Northern,Inner North,2,phase_2,False,-37.75305,145.03845,9.4,Ivanhoe | Heidelberg Heights | Heidelberg West,Yarra River | Plenty River | Heidelberg and Greensborough activity centres,established suburban and infill housing,"Bellfield is part of Melbourne's established inner-north and north-east suburban belt, close to Ivanhoe, Heidelberg Heights, Heidelberg West. The broader catchment is shaped by Yarra River, Plenty River, Heidelberg and Greensborough activity centres. The local job mix commonly includes post-war brick homes, sloping blocks and newer family townhouses.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
Briar Hill,BRIAR HILL,briar-hill,BANYULE,Banyule City,Northern,Inner North,2,phase_2,False,-37.70622,145.12108,18.3,Montmorency | Greensborough | St Helena,Yarra River | Plenty River | Heidelberg and Greensborough activity centres,established suburban and infill housing,"Briar Hill is part of Melbourne's established inner-north and north-east suburban belt, close to Montmorency, Greensborough, St Helena. The broader catchment is shaped by Yarra River, Plenty River, Heidelberg and Greensborough activity centres. The local job mix commonly includes post-war brick homes, sloping blocks and newer family townhouses.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
Brunswick East,BRUNSWICK EAST,brunswick-east,MERRI-BEK,Merri-Bek City,Northern,Inner North,2,phase_2,False,-37.76887,144.97743,5.1,Brunswick | Northcote | Thornbury,Sydney Road | Upfield rail corridor | Merri Creek,established suburban and infill housing,"Brunswick East is part of Melbourne's established inner-north and north-east suburban belt, close to Brunswick, Northcote, Thornbury. The broader catchment is shaped by Sydney Road, Upfield rail corridor, Merri Creek. The local job mix commonly includes period cottages, brick homes and a growing stock of townhouses and apartments.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
Brunswick West,BRUNSWICK WEST,brunswick-west,MERRI-BEK,Merri-Bek City,Northern,Inner North,2,phase_2,False,-37.76311,144.94285,5.9,Brunswick | Pascoe Vale South | Coburg,Sydney Road | Upfield rail corridor | Merri Creek,established suburban and infill housing,"Brunswick West is part of Melbourne's established inner-north and north-east suburban belt, close to Brunswick, Pascoe Vale South, Coburg. The broader catchment is shaped by Sydney Road, Upfield rail corridor, Merri Creek. The local job mix commonly includes period cottages, brick homes and a growing stock of townhouses and apartments.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
Bundoora,BUNDOORA,bundoora,BANYULE,Banyule City,Northern,Inner North,2,phase_2,False,-37.69857,145.05962,15.3,Watsonia North | Watsonia | Macleod,Yarra River | Plenty River | Heidelberg and Greensborough activity centres,established suburban and infill housing,"Bundoora is part of Melbourne's established inner-north and north-east suburban belt, close to Watsonia North, Watsonia, Macleod. The broader catchment is shaped by Yarra River, Plenty River, Heidelberg and Greensborough activity centres. The local job mix commonly includes post-war brick homes, sloping blocks and newer family townhouses.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
Coburg North,COBURG NORTH,coburg-north,MERRI-BEK,Merri-Bek City,Northern,Inner North,2,phase_2,False,-37.72702,144.96807,9.6,Coburg | Hadfield | Fawkner,Sydney Road | Upfield rail corridor | Merri Creek,established suburban and infill housing,"Coburg North is part of Melbourne's established inner-north and north-east suburban belt, close to Coburg, Hadfield, Fawkner. The broader catchment is shaped by Sydney Road, Upfield rail corridor, Merri Creek. The local job mix commonly includes period cottages, brick homes and a growing stock of townhouses and apartments.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
Eaglemont,EAGLEMONT,eaglemont,BANYULE,Banyule City,Northern,Inner North,2,phase_2,False,-37.7637,145.06375,10.4,Ivanhoe East | Heidelberg | Ivanhoe,Yarra River | Plenty River | Heidelberg and Greensborough activity centres,established suburban and infill housing,"Eaglemont is part of Melbourne's established inner-north and north-east suburban belt, close to Ivanhoe East, Heidelberg, Ivanhoe. The broader catchment is shaped by Yarra River, Plenty River, Heidelberg and Greensborough activity centres. The local job mix commonly includes post-war brick homes, sloping blocks and newer family townhouses.",Allow for narrow residential streets and older masonry walls; ask for a parking photo when access is tight.
